base_revision,id,product_id,sku,finish,width_mm,height_mm,thickness_mm,lifecycle,availability
1,SKU-8500-0686-0,onyx-feather,8500-0686-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0013-1,arabescato-corchia,8500-0013-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0053-0,atlantic-ocean,8500-0053-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0046-0,bianco-dior,8500-0046-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0033-1,calacatta-borghini,8500-0033-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0018-0,calacatta-corchia,8500-0018-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0074-0,serena-pewter,8500-0074-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0041-1,verdi-alpi,8500-0041-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0057-1,crystal-bianco,8500-0057-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0064-0,onyx-sage,8500-0064-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0039-0,forge-eleganza,8500-0039-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0014-0,statuario,8500-0014-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0111-0,monoforma-moonlight,8500-0111-0,Silk,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0078-0,serena-valley,8500-0078-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0067-0,onyx-hazel,8500-0067-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0080-0,lithoform-crosscut-dunes,8500-0080-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0092-0,lithoform-veincut-dunes,8500-0092-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0042-0,macchia-vecchia,8500-0042-0,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0027-1,calacatta-cremo,8500-0027-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0045-0,oro-noir,8500-0045-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0063-0,onyx-crema,8500-0063-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0049-0,sahara-noir,8500-0049-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0083-0,lithoform-crosscut-coast,8500-0083-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0095-0,lithoform-veincut-coast,8500-0095-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0031-0,gemma-bronze,8500-0031-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0037-0,french-vanilla,8500-0037-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0070-1,serena-crater,8500-0070-1,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0051-1,calacatta-noir,8500-0051-1,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0113-0,monoforma-oasis,8500-0113-0,Silk,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0035-1,taj-mahal,8500-0035-1,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0028-1,bianco-stratura,8500-0028-1,Polished,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0023-0,ariel-bianco,8500-0023-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0052-0,travertino-classico,8500-0052-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0086-0,lithoform-crosscut-vista,8500-0086-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0098-0,lithoform-veincut-vista,8500-0098-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0631-0,monoforma-moonlight,8500-0631-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0076-0,serena-dusk,8500-0076-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0069-0,serena-flint,8500-0069-0,Organic Matte,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0058-0,ceppo-di-gre,8500-0058-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0072-1,serena-shale,8500-0072-1,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0061-0,onyx-halo,8500-0061-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0059-0,travertino-titanium,8500-0059-0,Organic Matte,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0017-0,bianco-gioia,8500-0017-0,Honed,600,2800,6,unconfirmed,installed_reference
1,SKU-8500-0152-0,onyx-crema,8500-0152-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0156-0,onyx-hazel,8500-0156-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0131-0,calacatta-cremo,8500-0131-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0129-0,calacatta-oro,8500-0129-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0136-0,french-vanilla,8500-0136-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0643-0,pietra-imperiale,8500-0643-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0134-0,taj-mahal,8500-0134-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0174-0,lithoform-crosscut-coast,8500-0174-0,Organic Matte,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0180-0,lithoform-crosscut-twilight,8500-0180-0,Organic Matte,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0177-0,lithoform-crosscut-vista,8500-0177-0,Organic Matte,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0688-0,onyx-feather,8500-0688-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0154-0,onyx-sage,8500-0154-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0122-0,bianco-gioia,8500-0122-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0133-0,calacatta-borghini,8500-0133-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0124-0,calacatta-corchia,8500-0124-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0146-0,crystal-bianco,8500-0146-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0138-0,forge-eleganza,8500-0138-0,Polished,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0121-0,statuario,8500-0121-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0167-0,serena-dusk,8500-0167-0,Organic Matte,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0165-0,serena-pewter,8500-0165-0,Organic Matte,1200,1200,9,unconfirmed,installed_reference
1,SKU-8000-0196-0,bianco-gioia,8000-0196-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0466-2,onyx-halo,8000-0466-2,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0014-0,arabescato-vagli,8000-0014-0,Honed,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0194-0,bianco-dior,8000-0194-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0156-1,statuario,8000-0156-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0590-0,calacatta-noir,8000-0590-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0270-1,nero-marquina,8000-0270-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0596-0,verdi-alpi,8000-0596-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0202-0,calacatta-corchia,8000-0202-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0184-0,armani-noir,8000-0184-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0441-1,crystal-bianco,8000-0441-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0539-1,serena-shale,8000-0539-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0564-0,publica-thunder,8000-0564-0,Patinated,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0180-0,ariel-bianco,8000-0180-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0050-0,calacatta-viola,8000-0050-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0238-0,foresta,8000-0238-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0578-0,travertino-classico,8000-0578-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0574-0,travertino-titanium,8000-0574-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0250-0,grigio-quarzo,8000-0250-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0436-1,ceppo-di-gre,8000-0436-1,Honed,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0442-1,terrazzo-delicato,8000-0442-1,Honed,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0244-1,fusion-white,8000-0244-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0260-0,montagna-jade,8000-0260-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0278-1,panda,8000-0278-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0168-1,super-white,8000-0168-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0044-1,calacatta-carrara,8000-0044-1,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0603-0,atlantic-ocean,8000-0603-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0264-1,montagna-grey,8000-0264-1,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0604-0,pietra-imperiale,8000-0604-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0068-1,calacatta-cremo,8000-0068-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0152-1,sahara-noir,8000-0152-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0438-1,bianco-stratura,8000-0438-1,Honed,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0554-1,lithoform-veincut-coast,8000-0554-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0545-1,lithoform-crosscut-coast,8000-0545-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0530-0,french-vanilla,8000-0530-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0036-0,arabescato-corchia,8000-0036-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0108-1,forge-eleganza,8000-0108-1,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0084-2,calacatta-oro,8000-0084-2,Polished,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0272-0,oro-noir,8000-0272-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0254-0,macchia-vecchia,8000-0254-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0434-2,calacatta-borghini,8000-0434-2,Honed,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0411-0,taj-mahal,8000-0411-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0258-0,marina-white,8000-0258-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0224-1,calacatta-picasso,8000-0224-1,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0208-0,gemma-bronze,8000-0208-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8500-0160-0,serena-crater,8500-0160-0,Honed,1198,1198,9,unconfirmed,installed_reference
1,SKU-8500-0119-0,arabescato-corchia,8500-0119-0,Honed,1198,1198,9,unconfirmed,installed_reference
1,SKU-8500-0145-0,calacatta-noir,8500-0145-0,Honed,1198,1198,9,unconfirmed,installed_reference
1,SKU-8500-0148-0,ceppo-di-gre,8500-0148-0,Honed,1198,1198,9,unconfirmed,installed_reference
1,SKU-8500-0170-0,lithoform-crosscut-dunes,8500-0170-0,Honed,1198,1198,9,unconfirmed,installed_reference
1,SKU-8000-0282-0,pietra-imperiale,8000-0282-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0493-1,pietra-imperiale,8000-0493-1,Satin,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0558-0,lithoform-veincut-vista,8000-0558-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8500-0050-1,calacatta-noir,8500-0050-1,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8000-0500-1,travertino-titanium,8000-0500-1,Grained,1620,3220,12,unconfirmed,installed_reference
1,SKU-8000-0551-0,lithoform-crosscut-vista,8000-0551-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0290-0,statuario,8000-0290-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0306-9,statuario,8000-0306-9,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0140-1,oro-noir,8000-0140-1,Polished,1250,2800,12,unconfirmed,installed_reference
1,SKU-8000-0236-0,foresta,8000-0236-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8500-0034-1,taj-mahal,8500-0034-1,Polished,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0530-0,taj-mahal,8500-0530-0,Polished,600,1200,9,unconfirmed,installed_reference
1,SKU-8500-0135-0,taj-mahal,8500-0135-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8510-0009-0,taj-mahal,8510-0009-0,Honed,,,9,unconfirmed,installed_reference
1,SKU-8500-0295-0,taj-mahal,8500-0295-0,Honed,600,600,9,unconfirmed,installed_reference
1,SKU-8500-0405-0,taj-mahal,8500-0405-0,Polished,300,600,9,unconfirmed,installed_reference
1,SKU-8500-0602-0,taj-mahal,8500-0602-0,Honed,900,900,9,unconfirmed,installed_reference
1,SKU-8500-0019-1,calacatta-corchia,8500-0019-1,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8000-0210-0,gemma-bronze,8000-0210-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8500-0176-0,lithoform-crosscut-vista,8500-0176-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0179-0,lithoform-crosscut-twilight,8500-0179-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0173-0,lithoform-crosscut-coast,8500-0173-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0462-0,lithoform-veincut-coast,8500-0462-0,Honed,600,1200,9,unconfirmed,installed_reference
1,SKU-8500-0468-0,lithoform-veincut-dunes,8500-0468-0,Honed,600,1200,9,unconfirmed,installed_reference
1,SKU-8500-0480-0,lithoform-veincut-vista,8500-0480-0,Honed,600,1200,9,unconfirmed,installed_reference
1,SKU-8500-0474-0,lithoform-veincut-twilight,8500-0474-0,Honed,600,1200,9,unconfirmed,installed_reference
1,SKU-8500-0162-0,serena-shale,8500-0162-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0168-0,serena-valley,8500-0168-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0166-0,serena-dusk,8500-0166-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0164-0,serena-pewter,8500-0164-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SKU-8500-0158-0,serena-flint,8500-0158-0,Honed,1200,1200,9,unconfirmed,installed_reference
1,SOURCE-APS-APS_Tempry-043,onyx-sage,,Unconfirmed,600,1200,9,unconfirmed,unknown
1,SOURCE-APS-APS_Tempry-044,onyx-hazel,,Unconfirmed,600,1200,9,unconfirmed,unknown
1,SOURCE-APS-APS_Tempry-045,onyx-crema,,Unconfirmed,1200,1200,9,unconfirmed,unknown
1,SKU-9902-2325-0,taj-mahal,9902-2325-0,Polished,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2326-0,taj-mahal,9902-2326-0,Honed,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2327-0,taj-mahal,9902-2327-0,Satin,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2383-0,lithoform-crosscut-coast,9902-2383-0,St Honed,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2415-0,lithoform-crosscut-coast,9902-2415-0,Organic Matte,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2384-0,lithoform-crosscut-coast,9902-2384-0,Vintage,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2372-0,travertino-classico,9902-2372-0,Grained,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2402-0,publica-terrain,9902-2402-0,Patinated,95,134,6,unconfirmed,installed_reference
1,SKU-9902-2404-0,monoforma-moonlight,9902-2404-0,Silk,95,134,6,unconfirmed,installed_reference
1,PHOTO-VERDI-KITCHEN,verdi-alpi,,Unconfirmed furniture finish,,,,unconfirmed,installed_reference
1,OPTION-7ba698a1814127,arabescato-corchia,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-8496a242bb23a9,arabescato-corchia,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-8ae48085efe5cd,arabescato-vagli,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-a0e2719a6841b4,arabescato-vagli,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-b3b011946bee8f,arabescato-vagli,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-83b7eb0b7e566e,statuario,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-2b7785a8e30418,statuario,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-4550f9ffdf783a,statuario,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-8b14f61ea5b3f2,bianco-gioia,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-3f3433a6025e90,bianco-gioia,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-5ed5543d4c316d,montagna-grey,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-107da6d14e918e,montagna-grey,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-4812a9579b29f9,montagna-grey,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-6f8f513365cbc0,calacatta-corchia,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-cbabca519881d1,calacatta-corchia,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-177975cfaaf523,calacatta-corchia,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-fd361efc7345ff,calacatta-carrara,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-e85cfdbbc449c8,calacatta-carrara,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-72a610bca29a7f,calacatta-carrara,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-4913fead823448,ariel-bianco,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-e4f3369e50ed25,ariel-bianco,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-154916179a916b,ariel-bianco,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-958319854a0c02,panda,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-6754b96f97d69d,panda,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-e631608da5a64a,calacatta-oro,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-3b50196c54104d,calacatta-oro,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-2730a03797f7c2,calacatta-oro,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-1980950b6eb139,calacatta-cremo,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-7387bb25cd612d,calacatta-cremo,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-73758977165a8f,calacatta-cremo,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-a71fc9cacc33b0,bianco-stratura,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-4abce71c480fb1,bianco-stratura,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-d918ea07cd7ac0,bianco-stratura,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-fa1742d0b7d04a,colorado-lincoln,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-20d222e9baee83,colorado-lincoln,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-f1574761648203,colorado-lincoln,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-b69bd1ae96fbe5,fusion-white,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-b778ee2fb3b98e,fusion-white,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-8c50d17b35d5ae,gemma-bronze,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-fba9651c08b5af,gemma-bronze,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-b23cd1f752ecac,calacatta-picasso,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-f5ff8b2b72fee1,calacatta-picasso,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-f1317ed93353f8,calacatta-viola,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-5172f9606dcb9e,calacatta-viola,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-e97a592c77142e,calacatta-borghini,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-479312b89050cf,calacatta-borghini,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-2cf1003fc9451b,calacatta-borghini,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-8917608db1725b,cristallo,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-27e08e1359746b,cristallo,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-f94c2a57097c87,cristallo,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-b73a538272ed40,taj-mahal,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-a904f6db886f7e,taj-mahal,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-2acb417cd9f44f,taj-mahal,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-187ce932f2d4a9,atlantic-ocean,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-a92d3b22ce287d,atlantic-ocean,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-6e819aa3f4ff8d,atlantic-ocean,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-e08b3c964d11dd,marina-white,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-51f4a4825e9b0c,marina-white,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-3b8e46940a96ca,super-white,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-a22425aa20e797,super-white,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-ab0f5a28ec2da0,grigio-quarzo,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-84ddc647aea42d,french-vanilla,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-9eda62090969e1,french-vanilla,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-d685ebf53d868c,french-vanilla,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-fa379f36b60205,forge-eleganza,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-52bb97ed6335c8,forge-eleganza,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-cc856f78b775ea,forge-eleganza,,Satin,1600,3200,12,unconfirmed,unknown
1,OPTION-2b4936baad3b88,montagna-jade,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-224e98f18ac28e,montagna-jade,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-8f57e3fdf17cab,verdi-alpi,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-d8d36e63e8c71b,verdi-alpi,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-a8d441a58414c7,tuscano-burgundy,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-7470fc7471d3ea,macchia-vecchia,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-8aab7ddebf011c,macchia-vecchia,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-e0ad21e1763b8a,foresta,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-72c2911a489d7a,foresta,,Honed,1600,3200,12,unconfirmed,unknown
1,OPTION-ccd0e246402f18,pietra-imperiale,,Polished,1600,3200,12,unconfirmed,unknown
1,OPTION-803d1daddae066,pietra-imperiale,,Honed,1600,3200,12,unconfirmed,unknown
