,,,,MARKETING NAME:,Polished,,Honed,,Satin,Silk,Organic Matte,Vintage,Grained,Patinated,,
,Taj Mahal,Taj Mahal Block 36,,Random 8 faces,x,,x,,,,,,,,,
,Atlantic Ocean,Atlantic Ocean Block 24,,Random 8 faces,x,,x,,,,,,,,,
,Marina White,Marina White Block 46,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Super White,Super White Block 28,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Grigio Quarzo,Grigio Quarzo Block 21,,Bookmatch 2 faces,,,x,,,,,,,,,
,QUARTZITES,TOTAL COLORS,6,,5,,6,,,,,,,,11,
,Crystal - French Vanilla ,French Vanilla Block 35,,Random 8 faces,x,,x,,,,,,,,,
,Pietra Imperiale (grey version),Forge Eleganza Block 20,,Random 8 faces,x,,x,,,,,,,,,
,Montagnia Jade,Montagna Jade Block 14,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Verdi Alpi,Verdi Alpi Block 57,,Random 8 faces,x,,x,,,,,,,,,
,Elazıg Cherry,Tuscano Burgundy,,Bookmatch 2 faces,x,,,,,,,,,,,
,Foresta Vecchia ,Macchia Vecchia  Block 42,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Foresta,Foresta Block 56,,Random 8 faces,x,,x,,,,,,,,,
,Pietra Imperiale,Pietra Imperiale Block 30,,Random 8 faces,x,,x,,,,,,,,,
,Oro Noir,Oro Noir Block 25,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Bianco Dior,Bianco Dior Block 38,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Sahara Noir,Sahara Noir Block 15,,Random 6 faces,x,,x,,,,,,,,,
,Armani Noir,Armani Noir Block 17,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Noir,Calacatta Noir Block 34,,Random 8 faces,x,,x,,,,,,,,,
,Nero Marquina Extra,Nero Marquina Block 26,,Bookmatch 2 faces,x,,x,,,,,,,,,
,VARIOUS MARBLES,TOTAL COLORS,13,,14,,13,,,,,,,,27,
,Crystal - White Onyx,Crystal Bianco Block 50,,Random 8 faces,x,,x,,,,,,,,,
,Crystal - Pure Light Green Onyx,Onyx Halo Block 44,,Random 8 faces,x,,x,,,,,,,,,
,ONYX,TOTAL COLORS,2,,2,,2,,,,,,,,4,
,Travertino Classico,Travertino Classico Block 55,,Random 6 faces,,,,x,,,x,,x,,,
,Travertine Titanium,Travertino Titanium Block 39,,Random 6 faces,,,,x,,,x,,x,,,
,TRAVERTINE,TOTAL COLORS,2,,,,,2,,,2,,2,,6,
,Pietra Serena Dark Grey,Serena Flint,,Random 8 faces,,,,x,,,x,,,,,
,Pietra Serena Warm Grey,Serena Crater,,Random 8 faces,,,,x,,,x,,,,,
,Pietra Serena Light Grey,	Serena Shale,,Random 8 faces,,,,x,,,x,,,,,
,Halila Limestone Crosscut ivory,Lithoform Dunes - Crosscut,,Random 8 faces,,,,x,,,x,x,,,,
,Halila Limestone Crosscut Beige,Lithoform Coast - Crosscut,,Random 8 faces,,,,x,,,x,x,,,,
,Halila Limestone Crosscut Grey,Lithoform Vista - Crosscut,,Random 8 faces,,,,x,,,x,x,,,,
,Halila Limestone Viencut ivory,Lithoform Dunes - Veincut,,Random 6 faces,,,,x,,,x,,,,,
,Halila Limestone Viencut  Beige,Lithoform Coast - Veincut,,Random 6 faces,,,,x,,,x,,,,,
,Halila Limestone Viencut  Grey,Lithoform Vista - Veincut,,Random 6 faces,,,,x,,,x,,,,,
,LIMESTONES,TOTAL COLORS,9,,,,,9,,,9,3,,,21,
,Ceppo type stone OS-1140,Ceppo di Gre Block 71,,Random 8 faces,,,,x,,,x,,,,,
,STONE,TOTAL COLORS,1,,,,,1,,,1,,,,2,
,Argilla Cement Warm Grey,Publica Thunder,,Random 8 faces,,,,,,,x,,,x,,
,Argilla Cement Ivory,Publica Horizon,,Random 8 faces,,,,,,,x,,,x,,
,Argilla Cement beige,Publica Terrain,,Random 8 faces,,,,,,,x,,,x,,
,WOOD,TOTAL COLORS,3,,,,,,,,3,,,3,6,
,Unicolor White (Unglazed),Monoforma Moonlight,,Unglazed,,x,,,,x,,,,,,
,Unicolor Ivory (Unglazed),Monoforma Oasis,,Unglazed,,x,,,,x,,,,,,
,Unicolor Light Grey (Unglazed),Monoforma Storm,,Unglazed,,x,,,,x,,,,,,
,Unicolor Black (Unglazed),Monoforma Silhouette,,Unglazed,,x,,,,x,,,,,,
,UNICOLOR UNGLAZED,TOTAL COLORS,4,,,4,,,,4,,,,,8,
,,,58,0,40,4,40,12,0,4,15,3,2,3,123,123
