source_workbook,source_sheet,source_row,source_cell,reference_name,name_as_listed,marketing_header,technical_header,thickness_mm,option_as_listed,notes_as_listed,interpretation
Assortment confirmation list with names 260618_1.xlsx,Names,10,J10,Calacatta Monti,Calacatta Monti Block 54,Honed,Honed,,x,consider cancelling,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,11,I11,Ariel Bianco,Ariel Bianco Block 33,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,11,J11,Ariel Bianco,Ariel Bianco Block 33,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,11,K11,Ariel Bianco,Ariel Bianco Block 33,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,12,I12,Panda,Panda Block 22,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,12,J12,Panda,Panda Block 22,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,13,I13,Crystal - Calacatta Oro,Calacatta Oro Block 12,Polished,Polished,,x,consider La Marca Calacatta,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,13,J13,Crystal - Calacatta Oro,Calacatta Oro Block 12,Honed,Honed,,x,consider La Marca Calacatta,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,13,K13,Crystal - Calacatta Oro,Calacatta Oro Block 12,Satin,Satin,,x,consider La Marca Calacatta,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,14,I14,Calacatta Cremo,Calacatta Cremo Block 31,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,14,J14,Calacatta Cremo,Calacatta Cremo Block 31,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,14,K14,Calacatta Cremo,Calacatta Cremo Block 31,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,15,I15,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,15,J15,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,15,K15,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,16,I16,Calacatta Nero Borghini GRA-0001 GRA-0001-2,,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,16,J16,Calacatta Nero Borghini GRA-0001 GRA-0001-2,,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,16,K16,Calacatta Nero Borghini GRA-0001 GRA-0001-2,,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,17,I17,Fusion White,Fusion White Block 27,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,17,J17,Fusion White,Fusion White Block 27,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,18,I18,Gemma Bronze,Gemma Bronze Block 45,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,18,J18,Gemma Bronze,Gemma Bronze Block 45,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,19,I19,Calacatta Picasso,Calacatta Picasso Block 32,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,19,J19,Calacatta Picasso,Calacatta Picasso Block 32,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,20,I20,Calacatta Viola,Calacatta Viola Block 41,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,20,J20,Calacatta Viola,Calacatta Viola Block 41,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,21,I21,Calacatta Borghini,,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,21,J21,Calacatta Borghini,,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,21,K21,Calacatta Borghini,,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,23,I23,Cristallo,Cristallo Block 13,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,23,J23,Cristallo,Cristallo Block 13,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,23,K23,Cristallo,Cristallo Block 13,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,24,I24,Taj Mahal,Taj Mahal,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,24,J24,Taj Mahal,Taj Mahal,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,24,K24,Taj Mahal,Taj Mahal,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,25,I25,Atlantic Ocean,Atlantic Ocean Block 24,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,25,J25,Atlantic Ocean,Atlantic Ocean Block 24,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,25,K25,Atlantic Ocean,Atlantic Ocean Block 24,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,26,I26,Marina White,Marina White Block 46,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,26,J26,Marina White,Marina White Block 46,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,27,I27,Super White,Super White Block 28,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,27,J27,Super White,Super White Block 28,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,28,J28,Grigio Quarzo,Grigio Quarzo,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,30,I30,"Crystal - French Vanilla (locate polished slab, picture shows bush hammered)",,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,30,J30,"Crystal - French Vanilla (locate polished slab, picture shows bush hammered)",,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,30,K30,"Crystal - French Vanilla (locate polished slab, picture shows bush hammered)",,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,31,I31,Pietra Imperiale (grey version),Forge Eleganza Block 20,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,31,J31,Pietra Imperiale (grey version),Forge Eleganza Block 20,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,31,K31,Pietra Imperiale (grey version),Forge Eleganza Block 20,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,32,I32,Montagnia Jade,Montagnia Jade Block 14,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,32,J32,Montagnia Jade,Montagnia Jade Block 14,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,33,I33,Verdi Alpi,Verdi Alpi Block 57,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,33,J33,Verdi Alpi,Verdi Alpi Block 57,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,34,I34,Foresta Vecchia,Foresta Vecchia Block 42,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,34,J34,Foresta Vecchia,Foresta Vecchia Block 42,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,35,I35,Foresta,Foresta Block 56,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,35,J35,Foresta,Foresta Block 56,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,36,I36,Pietra Imperiale,Pietra Imperiale Block 30,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,36,J36,Pietra Imperiale,Pietra Imperiale Block 30,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,36,K36,Pietra Imperiale,Pietra Imperiale Block 30,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,37,I37,Oro Noir,Oro Noir Block 25,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,37,J37,Oro Noir,Oro Noir Block 25,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,38,I38,Bianco Dior,Bianco Dior Block 38,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,38,J38,Bianco Dior,Bianco Dior Block 38,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,39,I39,Sahara Noir,Sahara Noir Block 15,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,39,J39,Sahara Noir,Sahara Noir Block 15,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,40,I40,Armani Noir,Armani Noir Block 17,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,40,J40,Armani Noir,Armani Noir Block 17,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,41,I41,Calacatta Noir,Calacatta Noir Block 34,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,41,J41,Calacatta Noir,Calacatta Noir Block 34,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,41,K41,Calacatta Noir,Calacatta Noir Block 34,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,42,I42,Nero Marquina Extra,Nero Marquina Extra Block 26,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,42,J42,Nero Marquina Extra,Nero Marquina Extra Block 26,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,42,K42,Nero Marquina Extra,Nero Marquina Extra Block 26,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,44,I44,Crystal - White Onyx,,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,44,J44,Crystal - White Onyx,,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,45,I45,Crystal - Pure Light Green Onyx,Grey / Taupe,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,45,J45,Crystal - Pure Light Green Onyx,Grey / Taupe,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,48,M48,Travertino Classico,Travertino Classico Block 55,Structured matt,Structured matt,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,48,N48,Travertino Classico,Travertino Classico Block 55,Structured Honed,Structured Honed,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,49,M49,,Travertine Titanium,Structured matt,Structured matt,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,49,N49,,Travertine Titanium,Structured Honed,Structured Honed,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,52,M52,,Pietra Serena,Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,52,N52,,Pietra Serena,Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,53,M53,,Pietra Serena,Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,53,N53,,Pietra Serena,Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,54,M54,,Pietra Serena,Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,54,N54,,Pietra Serena,Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,55,M55,,Pietra Serena,Structured matt,Structured matt,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,55,N55,,Pietra Serena,Structured Honed,Structured Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,56,M56,,Halila Limestone (warm grey),Structured matt,Structured matt,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,56,N56,,Halila Limestone (warm grey),Structured Honed,Structured Honed,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,57,M57,,Halila Limestone (warm grey),Structured matt,Structured matt,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,57,N57,,Halila Limestone (warm grey),Structured Honed,Structured Honed,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,58,M58,,Halila Limestone (warm grey),Structured matt,Structured matt,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,58,N58,,Halila Limestone (warm grey),Structured Honed,Structured Honed,,x,Vintage and organic structured matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,59,M59,,Yacht Limestone Veincut (Halila),Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,59,N59,,Yacht Limestone Veincut (Halila),Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,60,M60,,Yacht Limestone Veincut (Halila),Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,60,N60,,Yacht Limestone Veincut (Halila),Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,61,M61,,Yacht Limestone Veincut (Halila),Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,61,N61,,Yacht Limestone Veincut (Halila),Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,63,M63,Ceppo type stone OS-1140,2 faces confirmed,Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,63,N63,Ceppo type stone OS-1140,2 faces confirmed,Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,64,M64,Terrazzo OS-0949 (2 faces),1 face confirmed,Structured matt,Structured matt,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,64,N64,Terrazzo OS-0949 (2 faces),1 face confirmed,Structured Honed,Structured Honed,,x,Organic matte,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,66,M66,Argilla Cement,Cement 1,Structured matt,Structured matt,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,66,O66,Argilla Cement,Cement 1,Structured Brushed,Structured Brushed,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,67,M67,,Cement 2,Structured matt,Structured matt,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,67,O67,,Cement 2,Structured Brushed,Structured Brushed,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,68,M68,,Cement 3,Structured matt,Structured matt,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,68,O68,,Cement 3,Structured Brushed,Structured Brushed,,x,"Structured brushed
Organic Matte","assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,69,M69,,Cement 4,Structured matt,Structured matt,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,69,O69,,Cement 4,Structured Brushed,Structured Brushed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,75,P75,Unicolor White,,Unglazed Polished,Unglazed Polished,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,75,Q75,Unicolor White,,Unglazed Satin,Unglazed Satin,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,76,P76,Unicolor Ivory,,Unglazed Polished,Unglazed Polished,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,76,Q76,Unicolor Ivory,,Unglazed Satin,Unglazed Satin,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,77,P77,Unicolor Light Grey,,Unglazed Polished,Unglazed Polished,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,77,Q77,Unicolor Light Grey,,Unglazed Satin,Unglazed Satin,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,78,P78,Unicolor Black,,Unglazed Polished,Unglazed Polished,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,78,Q78,Unicolor Black,,Unglazed Satin,Unglazed Satin,,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,3,F3,Arabescato Corchia,Arabescato Corchia Block 59,Polished,Polished,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,3,H3,Arabescato Corchia,Arabescato Corchia Block 59,Honed,Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,4,F4,Arabescato Vagli,Arabescato Vagli Block 34,Polished,Polished,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,4,H4,Arabescato Vagli,Arabescato Vagli Block 34,Honed,Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,4,J4,Arabescato Vagli,Arabescato Vagli Block 34,Satin,Satin,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
